Codi d'Informació,Unitat,Adreça,Codi postal,Municipi,Codi municipi,Utm_x,Utm_y,Latitud,Longitud,Georeferència
17855,Policia Local de Sant Adrià de Besòs,"Pl. de Francesc Michelli i Jové, s/n",08930,Sant Adrià de Besòs,81944,435106.5733600851,4586346.528754268,41.426049,2.223263,POINT (2.223263 41.426049)
17844,Policia Local de Ripollet,"Ctra. de Santiga, 1",08291,Ripollet,81803,429286.27188496763,4594326.588288395,41.497463421,2.152757508,POINT (2.152757508 41.497463421)
17733,Policia Local d'Artés,"C.   Barquera, 41",08271,Artés,80109,413164.6895547865,4627890.291649214,41.798122201,1.954791224,POINT (1.954791224 41.798122201)
17789,Policia Local de Granollers,"C. de la Princesa, 55",08401,Granollers,80961,440368.55259331287,4606125.717495091,41.604613628,2.28438177,POINT (2.28438177 41.604613628)
17876,Policia Local de Sant Pere de Ribes,"Pl. de la Vila, 1",08810,Sant Pere de Ribes,82310,397132.0599031179,4568609.462386491,41.26236181,1.771990106,POINT (1.771990106 41.26236181)
17871,Policia Local de Sant Jaume d'Enveja,"Av. de Catalunya, 22-30",43877,Sant Jaume d'Enveja,439023,307277.9599135121,4508816.847451889,40.707735036,0.718599076,POINT (0.718599076 40.707735036)
17881,Policia Local de Sant Vicenç de Montalt,"Av. dels Països Catalans, 1",08394,Sant Vicenç de Montalt,82649,458944.64613226353,4603323.494204039,41.580545555,2.507489794,POINT (2.507489794 41.580545555)
17744,Policia Local de la Bisbal d'Empordà,"C. Peixateries, 1",17100,La Bisbal d'Empordà,170221,503101.72879121476,4645260.359181477,41.959320854,3.037428693,POINT (3.037428693 41.959320854)
17919,Policia Local de Valls,"Pl. del Blat, 1",43800,Valls,431613,353260.0790530249,4571794.982204773,41.284267299,1.247690608,POINT (1.247690608 41.284267299)
17866,Policia Local de Sant Feliu de Codines,"C. de Vic, 1",08182,Sant Feliu de Codines,82107,430536.3848940626,4615554.995716225,41.688741269,2.165304753,POINT (2.165304753 41.688741269)
17829,Policia Local de Pallejà,"C. del Sol, 1",08780,Pallejà,81574,416168.60857403657,4586158.835155378,41.422616607,1.996783225,POINT (1.996783225 41.422616607)
21591,Policia Local de Maçanet de la Selva,"Av. de Sant Jordi, 77",17412,Maçanet de la Selva,171030,477678.008,4624915.52,41.775769558,2.731409071,POINT (2.731409071 41.775769558)
17777,Policia Local de Cunit,"C.   Conca de Barbera, 10",43881,Cunit,430516,385916.95255081996,4561497.240454324,41.196808237,1.639470212,POINT (1.639470212 41.196808237)
17888,Policia Local de Santa Margarida de Montbui,"C. Fàbrica, 2",08710,Santa Margarida de Montbui,82508,384161.19851945364,4603499.2328971345,41.575908179,1.611673967,POINT (1.611673967 41.575908179)
17926,Policia Local de Vilanova del Camí,"Pl. del Castell, 1",08788,Vilanova del Camí,83020,386136.6582121273,4603186.8604239905,41.572257769,1.634255393,POINT (1.634255393 41.572257769)
17788,Policia Municipal de Girona,"C. de Bacià, 4",17001,Girona,170792,485107.31278571713,4647618.643370747,41.980426592,2.820230011,POINT (2.820230011 41.980426592)
17725,Policia Local de l'Ametlla del Vallès,"C. de  Barcelona, s/n",08480,L'Ametlla del Vallès,80057,438986.2885433908,4612595.9740146985,41.662777096,2.267152813,POINT (2.267152813 41.662777096)
17852,Policia Local de Sallent,"C. de Torres Amat, 29",08650,Sallent,81918,408195.03615380265,4630829.869914141,41.824034167,1.894528448,POINT (1.894528448 41.824034167)
17884,Policia Local de Santa Coloma de Farners,"Pl. de l' Ajuntament, 1",17430,Santa Coloma de Farners,171805,472024.24835584674,4634419.918175059,41.861189,2.662927,POINT (2.662927 41.861189)
17784,Policia Local de les Franqueses del Vallès,"C. de Rafael Alberti, 2",08520,Les Franqueses del Vallès,80863,442008.29323783534,4609434.076182899,41.634531492,2.303737926,POINT (2.303737926 41.634531492)
17843,Policia Local de Ripoll,"Pg. d' Honorat Vilamanyà, 6",17500,Ripoll,171479,433357.7630444756,4672329.315333376,42.200358663,2.192797776,POINT (2.192797776 42.200358663)
